Date, Search Count, Research Topic Click
2013-12-01, 1531, 2
2013-12-02, 2586, 13
2013-12-03, 3060, 17
2013-12-04, 3120, 25
2013-12-05, 3202, 5
2013-12-06, 2455, 11
2013-12-07, 807, 0
2013-12-08, 1599, 6
2013-12-09, 2542, 9
2013-12-10, 2367, 10
2013-12-11, 2773, 9
2013-12-12, 2839, 13
2013-12-13, 1994, 11
2013-12-14, 871, 6
2013-12-15, 1206, 4
2013-12-16, 2376, 39
2013-12-17, 2186, 12
2013-12-18, 1649, 9
2013-12-19, 1822, 3
2013-12-20, 895, 0
2013-12-21, 550, 2
2013-12-22, 346, 2
2013-12-23, 363, 5
2013-12-24, 222, 0
2013-12-25, 312, 3
2013-12-26, 310, 0
2013-12-27, 356, 12
2013-12-28, 453, 1
2013-12-29, 380, 2
2013-12-30, 470, 5
2013-12-31, 375, 1
2014-01-01, 454, 0
2014-01-02, 712, 7
2014-01-03, 755, 8
2014-01-04, 736, 0
2014-01-05, 656, 7
2014-01-06, 1035, 7
2014-01-07, 1424, 5
2014-01-08, 1835, 22
2014-01-09, 2343, 15
2014-01-10, 1972, 14
2014-01-11, 588, 11
2014-01-12, 1087, 4
2014-01-13, 2538, 108
2014-01-14, 2847, 14
2014-01-15, 2605, 43
2014-01-16, 2653, 32
2014-01-17, 2318, 26
2014-01-18, 556, 3
2014-01-19, 786, 14
2014-01-20, 1310, 3
2014-01-21, 2734, 32
2014-01-22, 1970, 19
2014-01-23, 2346, 19
2014-01-24, 1884, 13
2014-01-25, 598, 7
2014-01-26, 977, 3
2014-01-27, 2056, 7
2014-01-28, 2170, 30
