Month,Weekday,Data, Search from Specific Time Period, Tag Search
January,Tue,13-01-01,132,10
January,Wed,13-01-02,127,2
January,Thu,13-01-03,100,30
January,Fri,13-01-04,143,26
January,Mon,13-01-07,204,20
January,Tue,13-01-08,194,21
January,Wed,13-01-09,246,27
January,Thu,13-01-10,130,60
January,Fri,13-01-11,144,17
January,Mon,13-01-14,224,22
January,Tue,13-01-15,224,43
January,Wed,13-01-16,294,62
January,Thu,13-01-17,141,30
January,Fri,13-01-18,153,36
January,Mon,13-01-21,284,41
January,Tue,13-01-22,257,78
January,Wed,13-01-23,218,40
January,Thu,13-01-24,207,41
January,Fri,13-01-25,224,34
January,Mon,13-01-28,309,25
January,Tue,13-01-29,240,41
January,Wed,13-01-30,192,80
January,Thu,13-01-31,183,29
February,Fri,13-02-01,166,3
February,Mon,13-02-04,219,75
February,Tue,13-02-05,200,42
February,Wed,13-02-06,285,21
February,Thu,13-02-07,197,44
February,Fri,13-02-08,147,17
February,Mon,13-02-11,224,49
February,Tue,13-02-12,200,64
February,Wed,13-02-13,204,33
February,Thu,13-02-14,177,54
February,Fri,13-02-15,131,80
February,Mon,13-02-18,275,37
February,Tue,13-02-19,227,93
February,Wed,13-02-20,260,55
February,Thu,13-02-21,204,124
February,Fri,13-02-22,132,37
February,Mon,13-02-25,250,44
February,Tue,13-02-26,276,70
February,Wed,13-02-27,236,47
February,Thu,13-02-28,178,77
March,Fri,13-03-01,185,28
March,Mon,13-03-04,178,44
March,Tue,13-03-05,230,30
March,Wed,13-03-06,197,66
March,Thu,13-03-07,249,34
March,Fri,13-03-08,159,32
March,Mon,13-03-11,238,55
March,Tue,13-03-12,274,50
March,Wed,13-03-13,226,62
March,Thu,13-03-14,244,50
March,Fri,13-03-15,157,18
March,Mon,13-03-18,234,40
March,Tue,13-03-19,250,86
March,Wed,13-03-20,229,50
March,Thu,13-03-21,187,52
March,Fri,13-03-22,187,32
March,Mon,13-03-25,255,35
March,Tue,13-03-26,268,40
March,Wed,13-03-27,216,60
March,Thu,13-03-28,193,22
March,Fri,13-03-29,167,12
April,Mon,13-04-01,197,21
April,Tue,13-04-02,253,26
April,Wed,13-04-03,287,21
April,Thu,13-04-04,197,35
April,Fri,13-04-05,118,19
April,Mon,13-04-08,216,31
April,Tue,13-04-09,261,33
April,Wed,13-04-10,200,46
April,Thu,13-04-11,185,47
April,Fri,13-04-12,219,39
April,Mon,13-04-15,212,42
April,Tue,13-04-16,284,39
April,Wed,13-04-17,226,49
April,Thu,13-04-18,209,32
April,Fri,13-04-19,131,23
April,Mon,13-04-22,229,48
April,Tue,13-04-23,224,20
April,Wed,13-04-24,267,69
April,Thu,13-04-25,187,55
April,Fri,13-04-26,161,12
April,Mon,13-04-29,200,50
Apr,Tue,13-04-30,176,27
May,Wed,13-05-01,134,15
May,Thu,13-05-02,135,14
May,Fri,13-05-03,84,37
May,Mon,13-05-06,178,27
May,Tue,13-05-07,172,42
May,Wed,13-05-08,225,41
May,Thu,13-05-09,177,32
May,Fri,13-05-10,151,19
May,Mon,13-05-13,175,40
May,Tue,13-05-14,200,23
May,Wed,13-05-15,199,24
May,Thu,13-05-16,170,7
May,Fri,13-05-17,163,29
May,Mon,13-05-20,232,44
May,Tue,13-05-21,258,36
May,Wed,13-05-22,278,34
May,Thu,13-05-23,201,46
May,Fri,13-05-24,134,14
May,Mon,13-05-27,164,9
May,Tue,13-05-28,227,28
May,Wed,13-05-29,191,26
May,Thu,13-05-30,141,58
May,Fri,13-05-31,114,11
September,Mon,13-09-02,146,4
September,Tue,13-09-03,131,20
September,Wed,13-09-04,131,11
September,Thu,13-09-05,110,4
September,Fri,13-09-06,93,1
September,Mon,13-09-09,107,12
September,Tue,13-09-10,134,23
September,Wed,13-09-11,101,49
September,Thu,13-09-12,126,11
September,Fri,13-09-13,67,19
September,Mon,13-09-16,158,12
September,Tue,13-09-17,184,19
September,Wed,13-09-18,140,22
September,Thu,13-09-19,142,29
September,Fri,13-09-20,97,20
September,Mon,13-09-23,147,30
September,Tue,13-09-24,160,52
September,Wed,13-09-25,138,52
September,Thu,13-09-26,102,30
September,Fri,13-09-27,101,14
September,Mon,13-09-30,126,72
October,Tue,13-10-01,159,31
October,Wed,13-10-02,111,22
October,Thu,13-10-03,110,39
October,Fri,13-10-04,82,16
October,Mon,13-10-07,100,36
October,Tue,13-10-08,202,26
October,Wed,13-10-09,189,22
October,Thu,13-10-10,116,28
October,Fri,13-10-11,162,22
October,Mon,13-10-14,146,40
October,Tue,13-10-15,182,47
October,Wed,13-10-16,146,27
October,Thu,13-10-17,149,51
October,Fri,13-10-18,198,14
October,Mon,13-10-21,180,38
October,Tue,13-10-22,197,46
October,Wed,13-10-23,192,39
October,Thu,13-10-24,206,18
October,Fri,13-10-25,121,11
October,Mon,13-10-28,191,16
October,Tue,13-10-29,165,22
October,Wed,13-10-30,207,68
October,Thu,13-10-31,181,43
November,Fri,13-11-01,137,34
November,Mon,13-11-04,140,41
November,Tue,13-11-05,185,82
November,Wed,13-11-06,155,46
November,Thu,13-11-07,117,66
November,Fri,13-11-08,75,33
November,Mon,13-11-11,121,12
November,Tue,13-11-12,160,36
November,Wed,13-11-13,134,60
November,Thu,13-11-14,159,39
November,Fri,13-11-15,118,20
November,Mon,13-11-18,197,37
November,Tue,13-11-19,217,59
November,Wed,13-11-20,123,27
November,Thu,13-11-21,184,20
November,Fri,13-11-22,79,48
November,Mon,13-11-25,135,27
November,Tue,13-11-26,135,13
November,Wed,13-11-27,113,4
November,Thu,13-11-28,24,4
November,Fri,13-11-29,71,14
December,Mon,13-12-02,167,31
December,Tue,13-12-03,171,30
December,Wed,13-12-04,178,19
December,Thu,13-12-05,154,49
December,Fri,13-12-06,113,43
December,Mon,13-12-09,102,34
December,Tue,13-12-10,156,25
December,Wed,13-12-11,74,31
December,Thu,13-12-12,82,22
December,Fri,13-12-13,88,6
December,Mon,13-12-16,120,27
December,Tue,13-12-17,109,14
December,Wed,13-12-18,70,15
December,Thu,13-12-19,76,7
December,Fri,13-12-20,40,1
December,Mon,13-12-23,58,0
December,Tue,13-12-24,45,1
December,Wed,13-12-25,4,3
December,Thu,13-12-26,18,0
December,Fri,13-12-27,18,0
December,Mon,13-12-30,23,22
December,Tue,13-12-31,7,0
January,Wed,14-01-01,9,3
January,Thu,14-01-02,18,9
January,Fri,14-01-03,20,3
January,Mon,14-01-06,50,3
January,Tue,14-01-07,50,12
January,Wed,14-01-08,39,17
January,Thu,14-01-09,72,39
January,Fri,14-01-10,32,21
January,Mon,14-01-13,83,19
January,Tue,14-01-14,55,33
January,Wed,14-01-15,47,33
January,Thu,14-01-16,53,16
January,Fri,14-01-17,39,14
January,Mon,14-01-20,39,15
January,Tue,14-01-21,52,34
January,Wed,14-01-22,46,36
January,Thu,14-01-23,60,16
January,Fri,14-01-24,32,37
January,Mon,14-01-27,50,19
January,Tue,14-01-28,76,29
January,Wed,14-01-29,91,30
January,Thu,14-01-30,63,53
January,Fri,14-01-31,58,18
February,Mon,14-02-03,77,48
February,Tue,14-02-04,114,21
February,Wed,14-02-05,60,26
February,Thu,14-02-06,103,27
February,Fri,14-02-07,87,23
February,Mon,14-02-10,132,35
February,Tue,14-02-11,81,33
February,Wed,14-02-12,91,34
February,Thu,14-02-13,72,25
February,Fri,14-02-14,53,8
February,Mon,14-02-17,70,34
February,Tue,14-02-18,83,48
February,Wed,14-02-19,145,42
February,Thu,14-02-20,104,28
February,Fri,14-02-21,77,2
February,Mon,14-02-24,95,28
February,Tue,14-02-25,96,36
February,Wed,14-02-26,95,53
February,Thu,14-02-27,99,34
February,Fri,14-02-28,182,82
March,Mon,14-03-03,80,5
March,Tue,14-03-04,71,51
March,Wed,14-03-05,90,24
March,Thu,14-03-06,92,18
March,Fri,14-03-07,67,35
March,Mon,14-03-10,98,21
March,Tue,14-03-11,95,56
March,Wed,14-03-12,88,39
