Data, Search from Specific Time Period, Tag Search
13-01-01, 132, 10
13-01-02, 127, 2
13-01-03, 100, 30
13-01-04, 143, 26
13-01-05, 101, 11
13-01-06, 125, 12
13-01-07, 204, 20
13-01-08, 194, 21
13-01-09, 246, 27
13-01-10, 130, 60
13-01-11, 144, 17
13-01-12, 235, 1
13-01-13, 200, 11
13-01-14, 224, 22
13-01-15, 224, 43
13-01-16, 294, 62
13-01-17, 141, 30
13-01-18, 153, 36
13-01-19, 164, 6
13-01-20, 183, 34
13-01-21, 284, 41
13-01-22, 257, 78
13-01-23, 218, 40
13-01-24, 207, 41
13-01-25, 224, 34
13-01-26, 192, 12
13-01-27, 297, 19
13-01-28, 309, 25
13-01-29, 240, 41
13-01-30, 192, 80
13-01-31, 183, 29
13-02-01, 166, 3
13-02-02, 151, 3
13-02-03, 181, 26
13-02-04, 219, 75
13-02-05, 200, 42
13-02-06, 285, 21
13-02-07, 197, 44
13-02-08, 147, 17
13-02-09, 186, 4
13-02-10, 224, 16
13-02-11, 224, 49
13-02-12, 200, 64
13-02-13, 204, 33
13-02-14, 177, 54
13-02-15, 131, 80
13-02-16, 131, 11
13-02-17, 216, 13
13-02-18, 275, 37
13-02-19, 227, 93
13-02-20, 260, 55
13-02-21, 204, 124
13-02-22, 132, 37
13-02-23, 208, 15
13-02-24, 213, 19
13-02-25, 250, 44
13-02-26, 276, 70
13-02-27, 236, 47
13-02-28, 178, 77
13-03-01, 185, 28
13-03-02, 182, 28
13-03-03, 231, 51
13-03-04, 178, 44
13-03-05, 230, 30
13-03-06, 197, 66
13-03-07, 249, 34
13-03-08, 159, 32
13-03-09, 171, 11
13-03-10, 198, 33
13-03-11, 238, 55
13-03-12, 274, 50
13-03-13, 226, 62
13-03-14, 244, 50
13-03-15, 157, 18
13-03-16, 195, 5
13-03-17, 149, 19
13-03-18, 234, 40
13-03-19, 250, 86
13-03-20, 229, 50
13-03-21, 187, 52
13-03-22, 187, 32
13-03-23, 227, 9
13-03-24, 153, 32
13-03-25, 255, 35
13-03-26, 268, 40
13-03-27, 216, 60
13-03-28, 193, 22
13-03-29, 167, 12
13-03-30, 137, 10
13-03-31, 124, 16
13-04-01, 197, 21
13-04-02, 253, 26
13-04-03, 287, 21
13-04-04, 197, 35
13-04-05, 118, 19
13-04-06, 181, 8
13-04-07, 251, 21
13-04-08, 216, 31
13-04-09, 261, 33
13-04-10, 200, 46
13-04-11, 185, 47
13-04-12, 219, 39
13-04-13, 242, 19
13-04-14, 181, 13
13-04-15, 212, 42
13-04-16, 284, 39
13-04-17, 226, 49
13-04-18, 209, 32
13-04-19, 131, 23
13-04-20, 193, 25
13-04-21, 153, 16
13-04-22, 229, 48
13-04-23, 224, 20
13-04-24, 267, 69
13-04-25, 187, 55
13-04-26, 161, 12
13-04-27, 150, 29
13-04-28, 98, 18
13-04-29, 200, 50
13-04-30, 176, 27
13-05-01, 134, 15
13-05-02, 135, 14
13-05-03, 84, 37
13-05-04, 120, 16
13-05-05, 189, 22
13-05-06, 178, 27
13-05-07, 172, 42
13-05-08, 225, 41
13-05-09, 177, 32
13-05-10, 151, 19
13-05-11, 126, 9
13-05-12, 98, 26
13-05-13, 175, 40
13-05-14, 200, 23
13-05-15, 199, 24
13-05-16, 170, 7
13-05-17, 163, 29
13-05-18, 131, 9
13-05-19, 211, 32
13-05-20, 232, 44
13-05-21, 258, 36
13-05-22, 278, 34
13-05-23, 201, 46
13-05-24, 134, 14
13-05-25, 130, 0
13-05-26, 122, 8
13-05-27, 164, 9
13-05-28, 227, 28
13-05-29, 191, 26
13-05-30, 141, 58
13-05-31, 114, 11
13-06-01, 127, 15
13-06-02, 114, 8
13-06-03, 222, 41
13-06-04, 277, 7
13-06-05, 251, 9
13-06-06, 178, 31
13-06-07, 170, 11
13-06-08, 147, 0
13-06-09, 160, 6
13-06-10, 127, 8
13-06-11, 198, 5
13-06-12, 179, 4
13-06-13, 156, 11
13-06-14, 119, 1
13-06-15, 132, 1
13-06-16, 156, 4
13-06-17, 207, 3
13-06-18, 177, 3
13-06-19, 194, 3
13-06-20, 109, 1
13-06-21, 95, 4
13-06-22, 156, 1
13-06-23, 139, 3
13-06-24, 220, 5
13-06-25, 244, 0
13-06-26, 139, 38
13-06-27, 137, 2
13-06-28, 117, 2
13-06-29, 144, 0
13-06-30, 101, 5
13-07-01, 109, 0
13-07-02, 135, 3
13-07-03, 173, 5
13-07-04, 67, 0
13-07-05, 106, 4
13-07-06, 135, 0
13-07-07, 88, 1
13-07-08, 125, 7
13-07-09, 192, 9
13-07-10, 98, 11
13-07-11, 158, 5
13-07-12, 109, 1
13-07-13, 143, 9
13-07-14, 160, 2
13-07-15, 166, 10
13-07-16, 178, 4
13-07-17, 148, 19
13-07-18, 86, 8
