Date, Expand_Button_Click(E), Research_Topic_Show(R), Search_Count(S), Advance_Search_Count(A), Core_Correalation_Click, Exit_Button_Click, Educator_Tool_Click, My_List_Click, Bookcarts_Click, Slideshows_Click, Timelines_Click, Quizzes_Click, R/S, E/R, A/S
2013-01-01, 134, 679, 3534, 251, 15, 37, 0, 72, 42, 1, 7, 1, 0.192, 0.197, 0.071
2013-01-02, 571, 2643, 10517, 762, 55, 49, 5, 116, 37, 13, 8, 5, 0.251, 0.216, 0.072
2013-01-03, 1354, 5123, 19627, 1171, 87, 115, 10, 454, 87, 31, 24, 14, 0.261, 0.264, 0.060
2013-01-04, 1188, 4870, 18107, 1067, 73, 88, 8, 577, 183, 8, 15, 21, 0.269, 0.244, 0.059
2013-01-05, 119, 738, 4453, 325, 20, 66, 0, 79, 21, 6, 1, 5, 0.166, 0.161, 0.073
2013-01-06, 336, 1406, 8107, 415, 22, 37, 2, 209, 51, 15, 7, 10, 0.173, 0.239, 0.051
2013-01-07, 1355, 6624, 26586, 1940, 109, 104, 6, 366, 531, 8, 34, 19, 0.249, 0.205, 0.073
2013-01-08, 1501, 8164, 32757, 1722, 89, 167, 2, 448, 397, 20, 32, 458, 0.249, 0.184, 0.053
2013-01-09, 1565, 9469, 36548, 1659, 128, 187, 8, 565, 412, 32, 39, 2308, 0.259, 0.165, 0.045
2013-01-10, 1258, 9266, 36045, 1584, 106, 200, 4, 520, 449, 29, 32, 913, 0.257, 0.136, 0.044
2013-01-11, 1139, 7273, 29648, 1373, 99, 227, 7, 360, 544, 17, 38, 5595, 0.245, 0.157, 0.046
2013-01-12, 142, 1033, 6245, 352, 33, 44, 1, 106, 29, 4, 13, 2, 0.165, 0.137, 0.056
2013-01-13, 351, 2320, 12383, 693, 36, 100, 1, 283, 31, 9, 16, 7, 0.187, 0.151, 0.056
2013-01-14, 1267, 8772, 34299, 1960, 84, 198, 7, 438, 486, 21, 37, 13, 0.256, 0.144, 0.057
2013-01-15, 1492, 8729, 35217, 2613, 142, 230, 5, 444, 250, 52, 75, 29, 0.248, 0.171, 0.074
2013-01-16, 1233, 7409, 32006, 2160, 101, 257, 11, 777, 227, 18, 19, 22, 0.231, 0.166, 0.067
2013-01-17, 1158, 8566, 34988, 2123, 110, 261, 8, 617, 260, 30, 29, 33, 0.245, 0.135, 0.061
2013-01-18, 835, 6299, 26107, 1465, 109, 200, 5, 535, 201, 45, 31, 15, 0.241, 0.133, 0.056
2013-01-19, 112, 772, 5310, 418, 36, 68, 2, 145, 34, 4, 8, 10, 0.145, 0.145, 0.079
2013-01-20, 198, 1342, 8133, 531, 21, 93, 2, 180, 25, 4, 7, 7, 0.165, 0.148, 0.065
2013-01-21, 421, 2934, 14066, 882, 70, 110, 1, 268, 32, 10, 11, 8, 0.209, 0.143, 0.063
