Date, Search Count, Research Topic Click
13-01-01, 3732, 3
13-01-02, 6821, 21
13-01-03, 10455, 39
13-01-04, 9884, 185
13-01-05, 5739, 5
13-01-06, 6291, 25
13-01-07, 15337, 42
13-01-08, 14204, 230
13-01-09, 15657, 72
13-01-10, 15208, 88
13-01-11, 12892, 83
13-01-12, 5706, 22
13-01-13, 7625, 17
13-01-14, 17701, 132
13-01-15, 16709, 119
13-01-16, 14913, 81
13-01-17, 15750, 83
13-01-18, 11800, 95
13-01-19, 5635, 13
13-01-20, 6437, 10
13-01-21, 11420, 32
13-01-22, 15017, 140
13-01-23, 16049, 52
13-01-24, 14739, 109
13-01-25, 12276, 60
13-01-26, 7518, 18
13-01-27, 8990, 38
13-01-28, 17663, 96
13-01-29, 16218, 73
13-01-30, 18597, 85
13-01-31, 15407, 95
13-02-01, 13625, 62
13-02-02, 6942, 8
13-02-03, 8511, 22
13-02-04, 19629, 54
13-02-05, 20955, 95
13-02-06, 19729, 71
13-02-07, 20795, 84
13-02-08, 15848, 22
13-02-09, 7200, 11
13-02-10, 9631, 29
13-02-11, 22001, 57
13-02-12, 19968, 166
13-02-13, 19686, 37
13-02-14, 17884, 108
13-02-15, 12468, 70
13-02-16, 6380, 25
13-02-17, 7704, 28
13-02-18, 14942, 42
13-02-19, 19727, 101
13-02-20, 20295, 74
13-02-21, 18749, 54
13-02-22, 14886, 38
13-02-23, 8095, 19
13-02-24, 10075, 33
13-02-25, 22261, 88
13-02-26, 20118, 69
13-02-27, 19703, 56
13-02-28, 19019, 118
13-03-01, 13567, 53
13-03-02, 7786, 13
13-03-03, 10552, 27
13-03-04, 20131, 96
13-03-05, 18068, 97
13-03-06, 17488, 42
13-03-07, 18650, 60
13-03-08, 13404, 60
13-03-09, 7063, 8
13-03-10, 9131, 7
13-03-11, 20264, 65
13-03-12, 19087, 145
13-03-13, 17250, 90
13-03-14, 17541, 59
13-03-15, 13028, 67
13-03-16, 6525, 9
13-03-17, 9892, 22
13-03-18, 20900, 140
13-03-19, 17788, 149
13-03-20, 17290, 57
13-03-21, 16667, 70
13-03-22, 12955, 30
13-03-23, 6447, 12
13-03-24, 8772, 25
13-03-25, 18068, 119
13-03-26, 15862, 77
13-03-27, 15292, 69
13-03-28, 10953, 55
13-03-29, 7273, 34
13-03-30, 5360, 8
13-03-31, 5833, 6
13-04-01, 14281, 102
13-04-02, 14811, 54
13-04-03, 14209, 53
13-04-04, 14146, 57
13-04-05, 10902, 17
13-04-06, 6030, 20
13-04-07, 8282, 21
13-04-08, 19356, 125
13-04-09, 18498, 186
13-04-10, 19927, 88
13-04-11, 21429, 60
13-04-12, 13133, 50
13-04-13, 5925, 16
13-04-14, 7109, 16
13-04-15, 20342, 47
13-04-16, 19610, 77
13-04-17, 18623, 43
13-04-18, 17135, 29
13-04-19, 12244, 45
13-04-20, 6176, 8
13-04-21, 8658, 27
13-04-22, 19070, 53
13-04-23, 15690, 43
13-04-24, 16301, 40
13-04-25, 16503, 56
13-04-26, 11559, 43
13-04-27, 6404, 11
13-04-28, 8581, 48
13-04-29, 19438, 107
13-04-30, 16131, 72
13-05-01, 15151, 61
13-05-02, 14154, 49
13-05-03, 11077, 64
13-05-04, 5938, 8
13-05-05, 8793, 12
13-05-06, 17365, 33
13-05-07, 14890, 35
13-05-08, 14965, 79
13-05-09, 14586, 46
13-05-10, 10500, 62
13-05-11, 6238, 8
13-05-12, 7295, 5
13-05-13, 16206, 76
13-05-14, 13636, 44
13-05-15, 13164, 73
13-05-16, 12972, 50
13-05-17, 10366, 27
13-05-18, 5965, 19
13-05-19, 8209, 11
13-05-20, 16779, 25
13-05-21, 14253, 38
13-05-22, 12826, 34
13-05-23, 11957, 35
13-05-24, 7718, 16
13-05-25, 5248, 3
13-05-26, 5881, 3
13-05-27, 10706, 13
13-05-28, 11882, 39
13-05-29, 10730, 92
13-05-30, 10182, 25
13-05-31, 7464, 38
13-06-01, 5894, 7
13-06-02, 7429, 14
13-06-03, 12839, 8
13-06-04, 9744, 17
13-06-05, 9634, 14
13-06-06, 7787, 15
13-06-07, 5727, 13
13-06-08, 5197, 4
13-06-09, 5628, 12
13-06-10, 13898, 45
13-06-11, 10264, 7
13-06-12, 7226, 45
13-06-13, 6537, 26
13-06-14, 4880, 6
13-06-15, 4641, 5
13-06-16, 5241, 2
13-06-17, 8815, 13
13-06-18, 6220, 10
13-06-19, 6302, 10
13-06-20, 5418, 16
13-06-21, 4293, 9
13-06-22, 4477, 6
13-06-23, 4456, 8
13-06-24, 8730, 15
13-06-25, 6224, 20
13-06-26, 5686, 19
13-06-27, 5298, 29
13-06-28, 4090, 13
13-06-29, 3819, 1
13-06-30, 3787, 0
13-07-01, 7910, 3
13-07-02, 4834, 3
13-07-03, 5362, 21
13-07-04, 3039, 4
13-07-05, 3902, 3
13-07-06, 4020, 5
13-07-07, 3831, 2
13-07-08, 8667, 6
13-07-09, 5995, 21
13-07-10, 5312, 10
13-07-11, 5387, 11
13-07-12, 4291, 4
13-07-13, 4195, 5
13-07-14, 4681, 3
13-07-15, 9031, 21
13-07-16, 6130, 21
13-07-17, 6169, 16
13-07-18, 5352, 11
