Date, Search Count, Research Topic Click
13-01-01, 0, 3
13-01-02, 0, 21
13-01-03, 0, 39
13-01-04, 0, 185
13-01-05, 0, 5
13-01-06, 0, 25
13-01-07, 0, 42
13-01-08, 0, 230
13-01-09, 0, 72
13-01-10, 0, 88
13-01-11, 0, 83
13-01-12, 0, 22
13-01-13, 0, 17
13-01-14, 0, 132
13-01-15, 0, 119
13-01-16, 0, 81
13-01-17, 0, 83
13-01-18, 0, 95
13-01-19, 0, 13
13-01-20, 0, 10
13-01-21, 0, 32
13-01-22, 0, 140
13-01-23, 0, 52
13-01-24, 0, 109
13-01-25, 0, 60
13-01-26, 0, 18
13-01-27, 0, 38
13-01-28, 0, 96
13-01-29, 0, 73
13-01-30, 0, 85
13-01-31, 0, 95
13-02-01, 0, 62
13-02-02, 0, 8
13-02-03, 0, 22
13-02-04, 0, 54
13-02-05, 0, 95
13-02-06, 0, 71
13-02-07, 0, 84
13-02-08, 0, 22
13-02-09, 0, 11
13-02-10, 0, 29
13-02-11, 0, 57
13-02-12, 0, 166
13-02-13, 0, 37
13-02-14, 0, 108
13-02-15, 0, 70
13-02-16, 0, 25
13-02-17, 0, 28
13-02-18, 0, 42
13-02-19, 0, 101
13-02-20, 0, 74
13-02-21, 0, 54
13-02-22, 0, 38
13-02-23, 0, 19
13-02-24, 0, 33
13-02-25, 0, 88
13-02-26, 0, 69
13-02-27, 0, 56
13-02-28, 0, 118
13-03-01, 0, 53
13-03-02, 0, 13
13-03-03, 0, 27
13-03-04, 0, 96
13-03-05, 0, 97
13-03-06, 0, 42
13-03-07, 0, 60
13-03-08, 0, 60
13-03-09, 0, 8
13-03-10, 0, 7
13-03-11, 0, 65
13-03-12, 0, 145
13-03-13, 0, 90
13-03-14, 0, 59
13-03-15, 0, 67
13-03-16, 0, 9
13-03-17, 0, 22
13-03-18, 0, 140
13-03-19, 0, 149
13-03-20, 0, 57
13-03-21, 0, 70
13-03-22, 0, 30
13-03-23, 0, 12
13-03-24, 0, 25
13-03-25, 0, 119
13-03-26, 0, 77
13-03-27, 0, 69
13-03-28, 0, 55
13-03-29, 0, 34
13-03-30, 0, 8
13-03-31, 0, 6
13-04-01, 0, 102
13-04-02, 0, 54
13-04-03, 0, 53
13-04-04, 0, 57
13-04-05, 0, 17
13-04-06, 0, 20
13-04-07, 0, 21
13-04-08, 0, 125
13-04-09, 0, 186
13-04-10, 0, 88
13-04-11, 0, 60
13-04-12, 0, 50
13-04-13, 0, 16
13-04-14, 0, 16
13-04-15, 0, 47
13-04-16, 0, 77
13-04-17, 0, 43
13-04-18, 0, 29
13-04-19, 0, 45
13-04-20, 0, 8
13-04-21, 0, 27
13-04-22, 0, 53
13-04-23, 0, 43
13-04-24, 0, 40
13-04-25, 0, 56
13-04-26, 0, 43
13-04-27, 0, 11
13-04-28, 0, 48
13-04-29, 0, 107
13-04-30, 0, 72
13-05-01, 0, 61
13-05-02, 0, 49
13-05-03, 0, 64
13-05-04, 0, 8
13-05-05, 0, 12
13-05-06, 0, 33
13-05-07, 0, 35
13-05-08, 0, 79
13-05-09, 0, 46
13-05-10, 0, 62
13-05-11, 0, 8
13-05-12, 0, 5
13-05-13, 0, 76
13-05-14, 0, 44
13-05-15, 0, 73
13-05-16, 0, 50
13-05-17, 0, 27
13-05-18, 0, 19
13-05-19, 0, 11
13-05-20, 0, 25
13-05-21, 0, 38
13-05-22, 0, 34
13-05-23, 0, 35
13-05-24, 0, 16
13-05-25, 0, 3
13-05-26, 0, 3
13-05-27, 0, 13
13-05-28, 0, 39
13-05-29, 0, 92
13-05-30, 0, 25
13-05-31, 0, 38
13-06-01, 0, 7
13-06-02, 0, 14
13-06-03, 0, 8
13-06-04, 0, 17
13-06-05, 0, 14
13-06-06, 0, 15
13-06-07, 0, 13
13-06-08, 0, 4
13-06-09, 0, 12
13-06-10, 0, 45
13-06-11, 0, 7
13-06-12, 0, 45
13-06-13, 0, 26
13-06-14, 0, 6
13-06-15, 0, 5
13-06-16, 0, 2
13-06-17, 0, 13
13-06-18, 0, 10
13-06-19, 0, 10
13-06-20, 0, 16
13-06-21, 0, 9
13-06-22, 0, 6
13-06-23, 0, 8
13-06-24, 0, 15
13-06-25, 0, 20
13-06-26, 0, 19
13-06-27, 0, 29
13-06-28, 0, 13
13-06-29, 0, 1
13-06-30, 0, 0
13-07-01, 0, 3
13-07-02, 0, 3
13-07-03, 0, 21
13-07-04, 0, 4
13-07-05, 0, 3
13-07-06, 0, 5
13-07-07, 0, 2
13-07-08, 0, 6
13-07-09, 0, 21
13-07-10, 0, 10
13-07-11, 0, 11
13-07-12, 0, 4
13-07-13, 0, 5
13-07-14, 0, 3
13-07-15, 0, 21
13-07-16, 0, 21
13-07-17, 0, 16
13-07-18, 0, 11
13-07-19, 0, 7
13-07-20, 0, 7
13-07-21, 0, 6
13-07-22, 0, 1
13-07-23, 0, 24
13-07-24, 0, 12
13-07-25, 0, 21
13-07-26, 0, 0
13-07-27, 0, 0
13-07-28, 0, 5
13-07-29, 0, 28
13-07-30, 0, 34
13-07-31, 0, 8
13-08-01, 0, 6
13-08-02, 0, 4
13-08-03, 0, 6
