Month,Weekday,Date, Expand_Button_Click(E), Research_Topic_Show(R), Search_Count(S), Advance_Search_Count(A), Core_Correalation_Click, Exit_Button_Click, Educator_Tool_Click, My_List_Click, Bookcarts_Click, Slideshows_Click, Timelines_Click, Quizzes_Click, R/S, E/R, A/S
January,Tue,13-01-01,134,679,3534,251,15,37,0,72,42,1,7,1,0.192,0.197,0.071
January,Wed,13-01-02,571,2643,10517,762,55,49,5,116,37,13,8,5,0.251,0.216,0.072
January,Thu,13-01-03,1354,5123,19627,1171,87,115,10,454,87,31,24,14,0.261,0.264,0.06
January,Fri,13-01-04,1188,4870,18107,1067,73,88,8,577,183,8,15,21,0.269,0.244,0.059
January,Mon,13-01-07,1355,6624,26586,1940,109,104,6,366,531,8,34,19,0.249,0.205,0.073
January,Tue,13-01-08,1501,8164,32757,1722,89,167,2,448,397,20,32,458,0.249,0.184,0.053
January,Wed,13-01-09,1565,9469,36548,1659,128,187,8,565,412,32,39,2308,0.259,0.165,0.045
January,Thu,13-01-10,1258,9266,36045,1584,106,200,4,520,449,29,32,913,0.257,0.136,0.044
January,Fri,13-01-11,1139,7273,29648,1373,99,227,7,360,544,17,38,5595,0.245,0.157,0.046
January,Mon,13-01-14,1267,8772,34299,1960,84,198,7,438,486,21,37,13,0.256,0.144,0.057
January,Tue,13-01-15,1492,8729,35217,2613,142,230,5,444,250,52,75,29,0.248,0.171,0.074
January,Wed,13-01-16,1233,7409,32006,2160,101,257,11,777,227,18,19,22,0.231,0.166,0.067
January,Thu,13-01-17,1158,8566,34988,2123,110,261,8,617,260,30,29,33,0.245,0.135,0.061
January,Fri,13-01-18,835,6299,26107,1465,109,200,5,535,201,45,31,15,0.241,0.133,0.056
January,Mon,13-01-21,421,2934,14066,882,70,110,1,268,32,10,11,8,0.209,0.143,0.063
January,Tue,13-01-22,1238,8107,32359,2147,164,261,13,876,347,41,72,28,0.251,0.153,0.066
January,Wed,13-01-23,1459,8424,35450,1940,128,261,10,1254,242,22,41,41,0.238,0.173,0.055
January,Thu,13-01-24,1082,7487,33026,1676,121,222,2,1170,68,17,16,18,0.227,0.145,0.051
January,Fri,13-01-25,955,5620,24724,1536,98,165,5,672,226,21,20,53,0.227,0.17,0.062
January,Mon,13-01-28,950,6875,30444,1671,122,281,8,827,171,26,33,54,0.226,0.138,0.055
January,Tue,13-01-29,1616,9129,37341,2220,124,302,6,990,301,24,107,739,0.244,0.177,0.059
January,Wed,13-01-30,1440,9435,37731,2392,164,295,24,1623,545,30,50,434,0.25,0.153,0.063
January,Thu,13-01-31,1414,8607,33229,2093,106,240,10,1051,1337,36,18,20,0.259,0.164,0.063
February,Fri,13-02-01,838,5794,26897,1530,121,184,4,830,526,26,30,33,0.215,0.145,0.057
February,Mon,13-02-04,1558,9131,36833,2268,144,253,11,826,802,39,61,779,0.248,0.171,0.062
February,Tue,13-02-05,1890,10844,45843,2468,154,277,32,1183,787,49,52,308,0.237,0.174,0.054
February,Wed,13-02-06,1638,10277,43922,2525,123,349,17,1116,872,27,35,30,0.234,0.159,0.057
February,Thu,13-02-07,2201,11362,44145,2570,154,298,20,1025,722,37,79,39,0.257,0.194,0.058
February,Fri,13-02-08,1088,6262,25453,1510,90,138,5,386,591,28,31,31,0.246,0.174,0.059
February,Mon,13-02-11,1297,9452,40573,2619,139,254,5,696,393,30,35,35,0.233,0.137,0.065
February,Tue,13-02-12,1807,10755,43424,2727,137,278,6,553,483,31,26,22,0.248,0.168,0.063
February,Wed,13-02-13,1836,10979,42320,2403,134,305,6,723,653,16,40,24,0.259,0.167,0.057
February,Thu,13-02-14,1502,10084,40008,2231,127,189,7,546,582,34,55,36,0.252,0.149,0.056
February,Fri,13-02-15,1759,6372,25793,1480,121,205,35,709,590,29,20,25,0.247,0.276,0.057
February,Mon,13-02-18,740,4509,21304,1586,70,148,9,348,170,34,18,22,0.212,0.164,0.074
February,Tue,13-02-19,2023,8821,39395,2224,128,312,8,643,293,42,37,28,0.224,0.229,0.056
February,Wed,13-02-20,1677,9953,43897,2768,161,291,12,811,331,57,28,28,0.227,0.168,0.063
February,Thu,13-02-21,1695,10136,41248,2282,127,272,3,718,646,24,21,28,0.246,0.167,0.055
February,Fri,13-02-22,1099,6627,29470,1901,107,173,6,527,538,42,47,26,0.225,0.166,0.065
February,Mon,13-02-25,1547,10801,45499,2981,215,297,53,1071,457,52,53,34,0.237,0.143,0.066
February,Tue,13-02-26,1621,10401,44788,2873,214,263,75,691,567,41,54,41,0.232,0.156,0.064
February,Wed,13-02-27,1415,10239,42512,3014,171,242,13,529,558,34,37,82,0.241,0.138,0.071
February,Thu,13-02-28,1739,10809,46491,3229,141,293,72,1133,250,24,46,38,0.232,0.161,0.069
March,Fri,13-03-01,1013,6883,29539,2180,78,164,5,377,130,24,12,20,0.233,0.147,0.074
March,Mon,13-03-04,1495,8805,38110,2607,115,252,9,705,221,63,67,24,0.231,0.17,0.068
March,Tue,13-03-05,1713,9939,39906,2600,125,252,8,1033,120,25,38,34,0.249,0.172,0.065
March,Wed,13-03-06,1503,9301,40588,2615,144,224,9,1129,181,44,48,62,0.229,0.162,0.064
March,Thu,13-03-07,2143,11705,44147,2747,116,204,16,601,219,40,54,43,0.265,0.183,0.062
March,Fri,13-03-08,1244,7604,28764,1501,127,157,6,473,171,31,29,21,0.264,0.164,0.052
March,Mon,13-03-11,1422,9371,36591,2426,138,232,7,757,521,32,22,55,0.256,0.152,0.066
March,Tue,13-03-12,1550,10173,41523,2511,118,280,9,657,277,26,18,37,0.245,0.152,0.06
March,Wed,13-03-13,1436,9619,35938,2307,130,268,3,634,569,44,48,31,0.268,0.149,0.064
March,Thu,13-03-14,1415,9543,36096,2546,111,183,10,494,294,22,41,37,0.264,0.148,0.071
March,Fri,13-03-15,1027,6575,27259,1606,71,122,4,351,237,26,37,11,0.241,0.156,0.059
March,Mon,13-03-18,1263,9905,41614,2887,202,225,10,811,243,41,32,62,0.238,0.128,0.069
March,Tue,13-03-19,1189,8631,38201,2645,135,205,10,814,90,40,19,40,0.226,0.138,0.069
March,Wed,13-03-20,1500,9022,37404,2404,110,253,5,533,104,34,46,34,0.241,0.166,0.064
March,Thu,13-03-21,1138,7403,37492,2940,129,257,13,469,95,45,56,20,0.197,0.154,0.078
March,Fri,13-03-22,938,6136,26850,1597,81,150,3,384,72,18,16,33,0.229,0.153,0.059
March,Mon,13-03-25,1277,7460,32090,1799,87,178,2,302,159,22,24,13,0.232,0.171,0.056
March,Tue,13-03-26,1533,8171,32840,1795,91,187,8,429,316,23,35,16,0.249,0.188,0.055
March,Wed,13-03-27,1310,7334,32514,2142,91,155,11,462,100,24,34,32,0.226,0.179,0.066
March,Thu,13-03-28,884,5231,21266,1415,49,126,4,273,101,20,19,32,0.246,0.169,0.067
March,Fri,13-03-29,437,2070,9086,783,33,76,4,284,35,10,12,11,0.228,0.211,0.086
April,Mon,13-04-01,726,4577,20592,1702,67,148,5,213,59,19,40,31,0.222,0.159,0.083
April,Tue,13-04-02,1116,7539,29569,1752,91,188,0,597,65,35,29,7,0.255,0.148,0.059
April,Wed,13-04-03,953,7116,29054,1765,97,177,2,548,70,28,18,7,0.245,0.134,0.061
April,Thu,13-04-04,1031,7396,30528,1840,76,166,4,809,49,22,36,17,0.242,0.139,0.06
April,Fri,13-04-05,789,5493,21768,1553,56,136,2,457,33,9,31,7,0.252,0.144,0.071
April,Mon,13-04-08,1222,7979,36619,2508,120,238,7,780,304,26,36,26,0.218,0.153,0.068
April,Tue,13-04-09,1553,10875,40937,3263,141,304,6,854,310,32,33,24,0.266,0.143,0.08
April,Wed,13-04-10,1320,11274,41344,2547,129,279,16,974,605,44,69,133,0.273,0.117,0.062
April,Thu,13-04-11,1366,9441,38925,2432,130,278,6,815,481,45,66,27,0.243,0.145,0.062
April,Fri,13-04-12,1198,7772,28874,1818,184,181,2,520,166,29,23,22,0.269,0.154,0.063
April,Mon,13-04-15,1457,8817,37113,2454,135,182,9,805,77,17,41,33,0.238,0.165,0.066
April,Tue,13-04-16,1544,10044,41588,2624,169,179,5,799,126,63,49,38,0.242,0.154,0.063
April,Wed,13-04-17,1999,10585,40905,2315,110,257,2,687,199,15,15,32,0.259,0.189,0.057
April,Thu,13-04-18,1692,9530,37616,2305,113,204,8,745,140,23,24,9,0.253,0.178,0.061
April,Fri,13-04-19,1108,6429,25935,1453,97,152,5,379,74,33,34,17,0.248,0.172,0.056
April,Mon,13-04-22,1496,8271,36208,1957,100,206,8,705,60,25,22,24,0.228,0.181,0.054
April,Tue,13-04-23,1485,8198,34272,2112,117,231,11,604,73,24,27,34,0.239,0.181,0.062
April,Wed,13-04-24,1248,8689,34676,2171,120,227,14,591,252,32,28,24,0.251,0.144,0.063
April,Thu,13-04-25,1179,8051,34602,2369,179,239,7,679,96,40,25,24,0.233,0.146,0.068
April,Fri,13-04-26,748,5605,25975,1339,72,149,3,408,67,28,22,17,0.216,0.133,0.052
April,Mon,13-04-29,1345,8787,34392,1842,120,221,4,555,81,33,44,26,0.255,0.153,0.054
Apr,Tue,13-04-30,1005,7372,32156,1821,132,223,10,480,89,27,44,20,0.229,0.136,0.057
May,Wed,13-05-01,1117,7699,33410,1807,111,188,11,525,59,18,30,16,0.23,0.145,0.054
May,Thu,13-05-02,1312,7795,32023,1763,108,178,6,506,97,26,31,28,0.243,0.168,0.055
May,Fri,13-05-03,1037,5842,23350,1322,95,165,6,305,42,19,20,14,0.25,0.178,0.057
May,Mon,13-05-06,1308,7344,30446,2026,152,172,12,499,64,16,32,33,0.241,0.178,0.067
May,Tue,13-05-07,1254,7506,30826,1745,103,219,6,442,116,13,34,23,0.243,0.167,0.057
May,Wed,13-05-08,1251,7355,32131,1735,111,183,8,459,71,23,23,27,0.229,0.17,0.054
May,Thu,13-05-09,1262,8032,31453,1504,77,226,18,455,135,24,42,27,0.255,0.157,0.048
May,Fri,13-05-10,987,5601,20834,1147,52,145,9,305,41,23,34,15,0.269,0.176,0.055
May,Mon,13-05-13,1043,6707,28095,1636,80,183,2,427,53,29,31,27,0.239,0.156,0.058
May,Tue,13-05-14,886,6958,27339,1541,115,160,15,354,68,25,41,33,0.255,0.127,0.056
May,Wed,13-05-15,1106,6992,26308,1641,94,124,8,455,54,27,32,16,0.266,0.158,0.062
May,Thu,13-05-16,1045,6666,27763,1780,49,181,7,395,56,27,23,17,0.24,0.157,0.064
May,Fri,13-05-17,707,4872,19689,1495,86,105,7,287,41,18,22,11,0.247,0.145,0.076
May,Mon,13-05-20,1113,6312,26913,1593,90,156,6,541,137,11,15,10,0.235,0.176,0.059
May,Tue,13-05-21,1041,5797,25624,1723,84,120,11,337,105,23,14,22,0.226,0.18,0.067
May,Wed,13-05-22,847,5287,23770,1639,79,127,16,288,69,40,56,63,0.222,0.16,0.069
May,Thu,13-05-23,874,5224,22663,1775,56,128,5,236,52,11,26,11,0.231,0.167,0.078
May,Fri,13-05-24,480,2925,12491,904,41,105,14,129,17,27,22,22,0.234,0.164,0.072
May,Mon,13-05-27,337,2095,10338,873,27,76,4,155,34,7,14,7,0.203,0.161,0.084
May,Tue,13-05-28,621,4505,20826,1115,77,95,10,295,40,13,11,19,0.216,0.138,0.054
May,Wed,13-05-29,583,4054,19082,967,69,136,15,206,71,34,42,17,0.212,0.144,0.051
May,Thu,13-05-30,729,4299,18701,1236,60,130,10,236,54,21,19,25,0.23,0.17,0.066
May,Fri,13-05-31,583,2834,12370,842,57,93,6,120,90,14,15,10,0.229,0.206,0.068
September,Mon,13-09-02,136,913,5502,858,28,71,2,90,24,12,10,10,0.166,0.149,0.156
September,Tue,13-09-03,675,2873,12005,1527,63,138,5,120,173,21,23,9,0.239,0.235,0.127
September,Wed,13-09-04,480,3940,17887,1627,59,211,2,139,52,10,16,6,0.22,0.122,0.091
September,Thu,13-09-05,608,3789,14882,1397,62,145,5,167,51,17,16,17,0.255,0.16,0.094
September,Fri,13-09-06,753,3365,12453,983,61,139,13,193,32,7,5,19,0.27,0.224,0.079
September,Mon,13-09-09,576,4032,17000,1573,78,139,3,257,66,24,9,6,0.237,0.143,0.093
September,Tue,13-09-10,1051,5358,18631,1510,90,200,4,170,46,15,18,27,0.288,0.196,0.081
September,Wed,13-09-11,831,4885,18239,2092,82,138,2,225,75,16,11,23,0.268,0.17,0.115
September,Thu,13-09-12,1041,6023,21642,1968,85,206,7,337,38,11,17,15,0.278,0.173,0.091
September,Fri,13-09-13,915,5085,16847,1470,71,130,3,208,59,10,14,8,0.302,0.18,0.087
September,Mon,13-09-16,805,5962,24329,2062,156,192,8,374,82,28,36,41,0.245,0.135,0.085
September,Tue,13-09-17,1352,6110,27842,1770,134,199,9,385,91,25,20,40,0.219,0.221,0.064
September,Wed,13-09-18,894,5253,23124,1892,113,156,4,238,67,9,13,10,0.227,0.17,0.082
September,Thu,13-09-19,1367,6244,25051,2233,107,182,4,324,95,21,21,33,0.249,0.219,0.089
September,Fri,13-09-20,1046,5325,20029,2049,68,131,3,194,52,8,32,12,0.266,0.196,0.102
September,Mon,13-09-23,935,5360,23633,2491,105,112,8,536,49,14,11,27,0.227,0.174,0.105
September,Tue,13-09-24,1287,7678,30159,2826,145,236,21,1010,178,40,49,84,0.255,0.168,0.094
September,Wed,13-09-25,961,6706,27840,3185,151,192,10,1393,106,41,33,60,0.241,0.143,0.114
September,Thu,13-09-26,1028,5951,25939,2503,110,177,5,530,99,17,19,19,0.229,0.173,0.096
September,Fri,13-09-27,867,4416,17489,1364,104,105,2,220,88,13,19,24,0.253,0.196,0.078
September,Mon,13-09-30,817,5695,25203,3091,135,151,4,1080,110,11,11,18,0.226,0.143,0.123
October,Tue,13-10-01,1406,7950,31791,3131,110,274,2,707,47,28,35,35,0.25,0.177,0.098
October,Wed,13-10-02,1093,6398,27059,2251,102,160,4,490,117,11,17,12,0.236,0.171,0.083
October,Thu,13-10-03,882,6869,26203,2333,103,145,3,248,149,23,18,18,0.262,0.128,0.089
October,Fri,13-10-04,682,4742,19908,1819,98,151,2,335,97,31,16,31,0.238,0.144,0.091
October,Mon,13-10-07,1186,6506,26422,2458,166,153,9,400,98,21,25,43,0.246,0.182,0.093
October,Tue,13-10-08,1166,7303,28614,3239,99,209,3,452,128,21,19,28,0.255,0.16,0.113
October,Wed,13-10-09,1129,7164,32112,3236,122,210,2,359,140,14,11,13,0.223,0.158,0.101
October,Thu,13-10-10,1308,7549,32038,2498,101,191,2,776,128,18,16,26,0.236,0.173,0.078
October,Fri,13-10-11,932,4957,20858,1869,72,137,2,442,54,18,9,29,0.238,0.188,0.09
October,Mon,13-10-14,848,6510,24682,2496,89,166,9,307,75,20,33,20,0.264,0.13,0.101
October,Tue,13-10-15,1215,7338,31818,2662,162,296,19,388,284,21,34,43,0.231,0.166,0.084
October,Wed,13-10-16,1176,7048,31784,2663,113,156,8,232,376,13,26,23,0.222,0.167,0.084
October,Thu,13-10-17,1089,8157,31503,2694,124,210,7,300,192,23,22,30,0.259,0.134,0.086
October,Fri,13-10-18,884,5705,23719,2459,100,168,7,204,96,7,25,24,0.241,0.155,0.104
October,Mon,13-10-21,998,7585,30329,3658,124,188,5,300,368,34,24,27,0.25,0.132,0.121
October,Tue,13-10-22,1873,9138,36725,3833,134,257,17,417,129,34,36,33,0.249,0.205,0.104
October,Wed,13-10-23,1558,8734,36450,3888,176,259,7,407,107,19,15,44,0.24,0.178,0.107
