Month,Weekday,Date, Search from Popular Search, Popular Search from Homepage
Jan,Tue,13-01-01,1,1
Jan,Wed,13-01-02,6,2
Jan,Thu,13-01-03,2,0
Jan,Fri,13-01-04,12,3
Jan,Mon,13-01-07,19,11
Jan,Tue,13-01-08,8,1
Jan,Wed,13-01-09,4,0
Jan,Thu,13-01-10,45,4
Jan,Fri,13-01-11,5,0
Jan,Mon,13-01-14,6,1
Jan,Tue,13-01-15,18,1
Jan,Wed,13-01-16,1,0
Jan,Thu,13-01-17,16,1
Jan,Fri,13-01-18,10,3
Jan,Mon,13-01-21,1,1
Jan,Tue,13-01-22,10,5
Jan,Wed,13-01-23,5,1
Jan,Thu,13-01-24,4,1
Jan,Fri,13-01-25,4,3
Jan,Mon,13-01-28,13,11
Jan,Tue,13-01-29,61,49
Jan,Wed,13-01-30,15,9
Feb,Thu,13-01-31,6,3
Feb,Fri,13-02-01,4,2
Feb,Mon,13-02-04,3,0
Feb,Tue,13-02-05,12,5
Feb,Wed,13-02-06,4,2
Feb,Thu,13-02-07,8,2
Feb,Fri,13-02-08,6,6
Feb,Mon,13-02-11,4,0
Feb,Tue,13-02-12,7,0
Feb,Wed,13-02-13,20,3
Feb,Thu,13-02-14,17,8
Feb,Fri,13-02-15,7,1
Feb,Mon,13-02-18,10,2
Feb,Tue,13-02-19,23,5
Feb,Wed,13-02-20,11,4
Feb,Thu,13-02-21,7,3
Feb,Fri,13-02-22,3,2
Feb,Mon,13-02-25,10,4
Feb,Tue,13-02-26,7,2
Feb,Wed,13-02-27,11,2
Feb,Thu,13-02-28,8,5
Mar,Fri,13-03-01,5,1
Mar,Mon,13-03-04,11,3
Mar,Tue,13-03-05,2,1
Mar,Wed,13-03-06,10,6
Mar,Thu,13-03-07,17,7
Mar,Fri,13-03-08,5,2
Mar,Mon,13-03-11,18,1
Mar,Tue,13-03-12,3,0
Mar,Wed,13-03-13,10,6
Mar,Thu,13-03-14,1,0
Mar,Fri,13-03-15,3,2
Mar,Mon,13-03-18,10,1
Mar,Tue,13-03-19,2,0
Mar,Wed,13-03-20,9,3
Mar,Thu,13-03-21,2,2
Mar,Fri,13-03-22,3,1
Mar,Mon,13-03-25,6,1
Mar,Tue,13-03-26,3,0
Mar,Wed,13-03-27,22,18
Mar,Thu,13-03-28,5,1
Mar,Fri,13-03-29,6,6
Apr,Mon,13-04-01,7,4
Apr,Tue,13-04-02,6,1
Apr,Wed,13-04-03,5,3
Apr,Thu,13-04-04,3,1
Apr,Fri,13-04-05,2,1
Apr,Mon,13-04-08,7,0
Apr,Tue,13-04-09,14,1
Apr,Wed,13-04-10,17,6
Apr,Thu,13-04-11,7,2
Apr,Fri,13-04-12,5,1
Apr,Mon,13-04-15,8,1
Apr,Tue,13-04-16,8,1
Apr,Wed,13-04-17,5,0
Apr,Thu,13-04-18,3,1
Apr,Fri,13-04-19,28,1
Apr,Mon,13-04-22,36,0
Apr,Tue,13-04-23,15,0
Apr,Wed,13-04-24,36,0
Apr,Thu,13-04-25,50,0
Apr,Fri,13-04-26,5,0
Apr,Mon,13-04-29,14,1
Apr,Tue,13-04-30,49,3
May,Wed,13-05-01,51,1
May,Thu,13-05-02,33,1
May,Fri,13-05-03,12,1
May,Mon,13-05-06,26,1
May,Tue,13-05-07,9,1
May,Wed,13-05-08,5,3
May,Thu,13-05-09,6,2
May,Fri,13-05-10,3,0
May,Mon,13-05-13,8,5
May,Tue,13-05-14,6,0
May,Wed,13-05-15,5,4
May,Thu,13-05-16,26,0
May,Fri,13-05-17,1,0
May,Mon,13-05-20,5,0
May,Tue,13-05-21,11,0
May,Wed,13-05-22,13,4
May,Thu,13-05-23,5,0
May,Fri,13-05-24,1,0
May,Mon,13-05-27,1,0
May,Tue,13-05-28,5,0
May,Wed,13-05-29,3,2
May,Thu,13-05-30,1,1
May,Fri,13-05-31,5,2
Sep,Mon,13-09-02,1,0
Sep,Tue,13-09-03,3,0
Sep,Wed,13-09-04,9,3
Sep,Thu,13-09-05,8,5
Sep,Fri,13-09-06,13,0
Sep,Mon,13-09-09,3,2
Sep,Tue,13-09-10,4,0
Sep,Wed,13-09-11,0,0
Sep,Thu,13-09-12,9,5
Sep,Fri,13-09-13,2,0
Sep,Mon,13-09-16,3,1
Sep,Tue,13-09-17,6,0
Sep,Wed,13-09-18,2,0
Sep,Thu,13-09-19,21,13
Sep,Fri,13-09-20,1,0
Sep,Mon,13-09-23,6,4
Sep,Tue,13-09-24,19,11
Sep,Wed,13-09-25,20,2
Sep,Thu,13-09-26,2,1
Sep,Fri,13-09-27,7,0
Sep,Mon,13-09-30,7,0
Oct,Tue,13-10-01,13,4
Oct,Wed,13-10-02,10,3
Oct,Thu,13-10-03,10,1
Oct,Fri,13-10-04,15,0
Oct,Mon,13-10-07,3,0
Oct,Tue,13-10-08,11,2
Oct,Wed,13-10-09,5,1
Oct,Thu,13-10-10,28,3
Oct,Fri,13-10-11,54,3
Oct,Mon,13-10-14,5,3
Oct,Tue,13-10-15,2,0
Oct,Wed,13-10-16,2,2
Oct,Thu,13-10-17,8,3
Oct,Fri,13-10-18,9,0
Oct,Mon,13-10-21,2,0
Oct,Tue,13-10-22,22,11
Oct,Wed,13-10-23,5,1
Oct,Thu,13-10-24,16,5
Oct,Fri,13-10-25,12,8
Oct,Mon,13-10-28,3,0
Oct,Tue,13-10-29,9,2
Oct,Wed,13-10-30,6,1
Oct,Thu,13-10-31,10,3
Nov,Fri,13-11-01,5,2
Nov,Mon,13-11-04,5,0
Nov,Tue,13-11-05,16,2
Nov,Wed,13-11-06,3,0
Nov,Thu,13-11-07,6,1
Nov,Fri,13-11-08,6,3
Nov,Mon,13-11-11,3,0
Nov,Tue,13-11-12,2,1
Nov,Wed,13-11-13,5,1
Nov,Thu,13-11-14,11,5
Nov,Fri,13-11-15,9,1
Nov,Mon,13-11-18,13,5
Nov,Tue,13-11-19,22,11
Nov,Wed,13-11-20,18,1
Nov,Thu,13-11-21,10,0
Nov,Fri,13-11-22,3,1
Nov,Mon,13-11-25,6,1
Nov,Tue,13-11-26,8,1
Nov,Wed,13-11-27,2,0
Nov,Thu,13-11-28,0,0
Nov,Fri,13-11-29,0,0
Dec,Mon,13-12-02,9,3
Dec,Tue,13-12-03,4,1
Dec,Wed,13-12-04,9,0
Dec,Thu,13-12-05,2,0
Dec,Fri,13-12-06,4,1
Dec,Mon,13-12-09,4,1
Dec,Tue,13-12-10,10,0
Dec,Wed,13-12-11,12,5
Dec,Thu,13-12-12,4,0
Dec,Fri,13-12-13,3,1
Dec,Mon,13-12-16,5,0
Dec,Tue,13-12-17,7,0
Dec,Wed,13-12-18,1,0
Dec,Thu,13-12-19,4,0
Dec,Fri,13-12-20,0,0
Dec,Mon,13-12-23,1,0
Dec,Tue,13-12-24,0,0
Dec,Wed,13-12-25,0,0
Dec,Thu,13-12-26,0,0
Dec,Fri,13-12-27,0,0
Dec,Mon,13-12-30,0,0
Dec,Tue,13-12-31,0,0
Jan,Wed,14-01-01,0,0
Jan,Thu,14-01-02,3,0
Jan,Fri,14-01-03,2,0
Jan,Mon,14-01-06,3,0
Jan,Tue,14-01-07,1,0
Jan,Wed,14-01-08,61,10
Jan,Thu,14-01-09,11,0
Jan,Fri,14-01-10,5,1
Jan,Mon,14-01-13,14,9
Jan,Tue,14-01-14,16,7
Jan,Wed,14-01-15,7,3
Jan,Thu,14-01-16,11,1
Jan,Fri,14-01-17,10,5
Jan,Mon,14-01-20,2,0
Jan,Tue,14-01-21,4,1
Jan,Wed,14-01-22,1,1
Jan,Thu,14-01-23,3,0
Jan,Fri,14-01-24,3,2
Jan,Mon,14-01-27,6,4
Jan,Tue,14-01-28,16,2
Jan,Wed,14-01-29,9,2
Jan,Thu,14-01-30,12,5
Jan,Fri,14-01-31,17,9
Feb,Mon,14-02-03,13,2
Feb,Tue,14-02-04,15,5
Feb,Wed,14-02-05,2,0
Feb,Thu,14-02-06,28,11
Feb,Fri,14-02-07,14,7
Feb,Mon,14-02-10,10,8
Feb,Tue,14-02-11,6,1
Feb,Wed,14-02-12,3,0
Feb,Thu,14-02-13,9,0
Feb,Fri,14-02-14,0,0
Feb,Mon,14-02-17,4,2
Feb,Tue,14-02-18,10,4
Feb,Wed,14-02-19,8,2
Feb,Thu,14-02-20,5,2
Feb,Fri,14-02-21,4,2
Feb,Mon,14-02-24,12,3
Feb,Tue,14-02-25,13,0
Feb,Wed,14-02-26,3,0
Feb,Thu,14-02-27,4,3
Feb,Fri,14-02-28,1,0
Mar,Mon,14-03-03,1,0
Mar,Tue,14-03-04,13,3
Mar,Wed,14-03-05,2,0
Mar,Thu,14-03-06,5,1
Mar,Fri,14-03-07,13,8
Mar,Mon,14-03-10,5,1
Mar,Tue,14-03-11,9,3
Mar,Wed,14-03-12,12,3
