Date, Search from Popular Search, Popular Search from Homepage
13-01-01, 1, 1
13-01-02, 6, 2
13-01-03, 2, 0
13-01-04, 12, 3
13-01-05, 3, 0
13-01-06, 9, 5
13-01-07, 19, 11
13-01-08, 8, 1
13-01-09, 4, 0
13-01-10, 45, 4
13-01-11, 5, 0
13-01-12, 1, 0
13-01-13, 0, 0
13-01-14, 6, 1
13-01-15, 18, 1
13-01-16, 1, 0
13-01-17, 16, 1
13-01-18, 10, 3
13-01-19, 0, 0
13-01-20, 7, 0
13-01-21, 1, 1
13-01-22, 10, 5
13-01-23, 5, 1
13-01-24, 4, 1
13-01-25, 4, 3
13-01-26, 1, 1
13-01-27, 1, 0
13-01-28, 13, 11
13-01-29, 61, 49
13-01-30, 15, 9
13-01-31, 6, 3
13-02-01, 4, 2
13-02-02, 3, 0
13-02-03, 0, 0
13-02-04, 3, 0
13-02-05, 12, 5
13-02-06, 4, 2
13-02-07, 8, 2
13-02-08, 6, 6
13-02-09, 2, 0
13-02-10, 3, 1
13-02-11, 4, 0
13-02-12, 7, 0
13-02-13, 20, 3
13-02-14, 17, 8
13-02-15, 7, 1
13-02-16, 0, 0
13-02-17, 1, 0
13-02-18, 10, 2
13-02-19, 23, 5
13-02-20, 11, 4
13-02-21, 7, 3
13-02-22, 3, 2
13-02-23, 2, 0
13-02-24, 4, 1
13-02-25, 10, 4
13-02-26, 7, 2
13-02-27, 11, 2
13-02-28, 8, 5
13-03-01, 5, 1
13-03-02, 2, 0
13-03-03, 6, 1
13-03-04, 11, 3
13-03-05, 2, 1
13-03-06, 10, 6
13-03-07, 17, 7
13-03-08, 5, 2
13-03-09, 0, 0
13-03-10, 1, 0
13-03-11, 18, 1
13-03-12, 3, 0
13-03-13, 10, 6
13-03-14, 1, 0
13-03-15, 3, 2
13-03-16, 1, 0
13-03-17, 2, 1
13-03-18, 10, 1
13-03-19, 2, 0
13-03-20, 9, 3
13-03-21, 2, 2
13-03-22, 3, 1
13-03-23, 6, 5
13-03-24, 0, 0
13-03-25, 6, 1
13-03-26, 3, 0
13-03-27, 22, 18
13-03-28, 5, 1
13-03-29, 6, 6
13-03-30, 0, 0
13-03-31, 3, 1
13-04-01, 7, 4
13-04-02, 6, 1
13-04-03, 5, 3
13-04-04, 3, 1
13-04-05, 2, 1
13-04-06, 1, 0
13-04-07, 0, 0
13-04-08, 7, 0
13-04-09, 14, 1
13-04-10, 17, 6
13-04-11, 7, 2
13-04-12, 5, 1
13-04-13, 6, 0
13-04-14, 1, 0
13-04-15, 8, 1
13-04-16, 8, 1
13-04-17, 5, 0
13-04-18, 3, 1
13-04-19, 28, 1
13-04-20, 1, 0
13-04-21, 35, 0
13-04-22, 36, 0
13-04-23, 15, 0
13-04-24, 36, 0
13-04-25, 50, 0
13-04-26, 5, 0
13-04-27, 25, 0
13-04-28, 2, 0
13-04-29, 14, 1
13-04-30, 49, 3
13-05-01, 51, 1
13-05-02, 33, 1
13-05-03, 12, 1
13-05-04, 31, 0
13-05-05, 12, 0
13-05-06, 26, 1
13-05-07, 9, 1
13-05-08, 5, 3
13-05-09, 6, 2
13-05-10, 3, 0
13-05-11, 2, 1
13-05-12, 1, 0
13-05-13, 8, 5
13-05-14, 6, 0
13-05-15, 5, 4
13-05-16, 26, 0
13-05-17, 1, 0
13-05-18, 0, 0
13-05-19, 2, 0
13-05-20, 5, 0
13-05-21, 11, 0
13-05-22, 13, 4
13-05-23, 5, 0
13-05-24, 1, 0
13-05-25, 1, 0
13-05-26, 3, 3
13-05-27, 1, 0
13-05-28, 5, 0
13-05-29, 3, 2
13-05-30, 1, 1
13-05-31, 5, 2
13-06-01, 0, 0
13-06-02, 0, 0
13-06-03, 9, 0
13-06-04, 2, 0
13-06-05, 0, 0
13-06-06, 5, 1
13-06-07, 2, 0
13-06-08, 0, 0
13-06-09, 0, 0
13-06-10, 3, 0
13-06-11, 1, 1
13-06-12, 34, 20
13-06-13, 3, 0
13-06-14, 1, 0
13-06-15, 1, 0
13-06-16, 0, 0
13-06-17, 0, 0
13-06-18, 3, 1
13-06-19, 3, 3
13-06-20, 10, 10
13-06-21, 0, 0
13-06-22, 0, 0
13-06-23, 0, 0
13-06-24, 5, 0
13-06-25, 5, 2
13-06-26, 12, 2
13-06-27, 3, 0
13-06-28, 1, 0
13-06-29, 1, 0
13-06-30, 0, 0
13-07-01, 2, 0
13-07-02, 0, 0
13-07-03, 0, 0
13-07-04, 0, 0
13-07-05, 0, 0
13-07-06, 0, 0
13-07-07, 2, 0
13-07-08, 3, 0
13-07-09, 2, 1
13-07-10, 1, 0
13-07-11, 2, 0
13-07-12, 1, 0
13-07-13, 0, 0
13-07-14, 1, 1
13-07-15, 1, 0
13-07-16, 0, 0
13-07-17, 3, 2
13-07-18, 0, 0
13-07-19, 0, 0
13-07-20, 0, 0
13-07-21, 1, 0
13-07-22, 0, 0
13-07-23, 0, 0
13-07-24, 0, 0
13-07-25, 1, 0
13-07-26, 1, 0
13-07-27, 2, 0
13-07-28, 0, 0
13-07-29, 2, 1
13-07-30, 2, 0
13-07-31, 2, 1
13-08-01, 0, 0
13-08-02, 2, 0
13-08-03, 2, 0
13-08-04, 3, 0
13-08-05, 3, 0
13-08-06, 3, 0
13-08-07, 0, 0
13-08-08, 2, 2
13-08-09, 4, 0
13-08-10, 1, 0
13-08-11, 1, 0
13-08-12, 0, 0
13-08-13, 6, 2
13-08-14, 0, 0
13-08-15, 0, 0
13-08-16, 1, 0
13-08-17, 2, 0
13-08-18, 4, 0
13-08-19, 0, 0
13-08-20, 0, 0
13-08-21, 4, 1
13-08-22, 6, 0
13-08-23, 4, 0
13-08-24, 0, 0
13-08-25, 0, 0
13-08-26, 3, 1
13-08-27, 15, 8
13-08-28, 2, 0
13-08-29, 7, 3
13-08-30, 8, 0
13-08-31, 2, 2
13-09-01, 1, 1
13-09-02, 1, 0
13-09-03, 3, 0
13-09-04, 9, 3
13-09-05, 8, 5
13-09-06, 13, 0
13-09-07, 0, 0
13-09-08, 1, 0
13-09-09, 3, 2
13-09-10, 4, 0
13-09-11, 0, 0
13-09-12, 9, 5
13-09-13, 2, 0
13-09-14, 0, 0
13-09-15, 3, 0
13-09-16, 3, 1
13-09-17, 6, 0
13-09-18, 2, 0
13-09-19, 21, 13
13-09-20, 1, 0
13-09-21, 0, 0
13-09-22, 1, 1
13-09-23, 6, 4
13-09-24, 19, 11
13-09-25, 20, 2
13-09-26, 2, 1
13-09-27, 7, 0
13-09-28, 1, 0
13-09-29, 4, 1
13-09-30, 7, 0
13-10-01, 13, 4
13-10-02, 10, 3
13-10-03, 10, 1
13-10-04, 15, 0
13-10-05, 0, 0
13-10-06, 4, 1
13-10-07, 3, 0
13-10-08, 11, 2
13-10-09, 5, 1
13-10-10, 28, 3
13-10-11, 54, 3
13-10-12, 0, 0
13-10-13, 2, 1
13-10-14, 5, 3
13-10-15, 2, 0
13-10-16, 2, 2
13-10-17, 8, 3
13-10-18, 9, 0
13-10-19, 0, 0
13-10-20, 2, 0
13-10-21, 2, 0
13-10-22, 22, 11
13-10-23, 5, 1
13-10-24, 16, 5
13-10-25, 12, 8
13-10-26, 0, 0
13-10-27, 1, 0
13-10-28, 3, 0
13-10-29, 9, 2
13-10-30, 6, 1
13-10-31, 10, 3
13-11-01, 5, 2
13-11-02, 0, 0
13-11-03, 3, 0
13-11-04, 5, 0
13-11-05, 16, 2
13-11-06, 3, 0
13-11-07, 6, 1
13-11-08, 6, 3
13-11-09, 2, 0
13-11-10, 2, 0
13-11-11, 3, 0
13-11-12, 2, 1
13-11-13, 5, 1
13-11-14, 11, 5
13-11-15, 9, 1
13-11-16, 0, 0
13-11-17, 1, 0
13-11-18, 13, 5
13-11-19, 22, 11
13-11-20, 18, 1
13-11-21, 10, 0
13-11-22, 3, 1
13-11-23, 2, 0
13-11-24, 2, 2
13-11-25, 6, 1
13-11-26, 8, 1
13-11-27, 2, 0
13-11-28, 0, 0
13-11-29, 0, 0
13-11-30, 0, 0
13-12-01, 0, 0
13-12-02, 9, 3
13-12-03, 4, 1
13-12-04, 9, 0
13-12-05, 2, 0
13-12-06, 4, 1
13-12-07, 0, 0
13-12-08, 0, 0
13-12-09, 4, 1
13-12-10, 10, 0
13-12-11, 12, 5
13-12-12, 4, 0
