Date, Expand_Button_Click(E), Research_Topic_Show(R), Search_Count(S), R/S, E/R
13-01-01, 18, 125, 577, 0.217, 0.144
13-01-02, 92, 560, 2100, 0.267, 0.164
13-01-03, 262, 1065, 4055, 0.263, 0.246
13-01-04, 305, 1086, 3593, 0.302, 0.281
13-01-05, 43, 175, 872, 0.201, 0.246
13-01-06, 58, 293, 1431, 0.205, 0.198
13-01-07, 282, 1323, 5032, 0.263, 0.213
13-01-08, 324, 1637, 6290, 0.260, 0.198
13-01-09, 342, 1899, 7326, 0.259, 0.180
13-01-10, 243, 1816, 7198, 0.252, 0.134
13-01-11, 229, 1505, 5729, 0.263, 0.152
13-01-12, 32, 195, 1335, 0.146, 0.164
13-01-13, 59, 480, 2496, 0.192, 0.123
13-01-14, 250, 1685, 6580, 0.256, 0.148
13-01-15, 276, 1678, 7226, 0.232, 0.164
13-01-16, 206, 1447, 6318, 0.229, 0.142
13-01-17, 258, 1711, 7266, 0.235, 0.151
13-01-18, 173, 1216, 5274, 0.231, 0.142
13-01-19, 12, 161, 1061, 0.152, 0.075
13-01-20, 27, 274, 1633, 0.168, 0.099
13-01-21, 90, 522, 2695, 0.194, 0.172
13-01-22, 203, 1631, 6055, 0.269, 0.124
13-01-23, 264, 1582, 7086, 0.223, 0.167
13-01-24, 233, 1509, 6481, 0.233, 0.154
13-01-25, 159, 1109, 4827, 0.230, 0.143
13-01-26, 20, 225, 1641, 0.137, 0.089
13-01-27, 59, 451, 2748, 0.164, 0.131
13-01-28, 213, 1450, 6122, 0.237, 0.147
13-01-29, 276, 1594, 6846, 0.233, 0.173
13-01-30, 298, 1933, 8025, 0.241, 0.154
13-01-31, 313, 1724, 6560, 0.263, 0.182
13-02-01, 163, 1169, 4965, 0.235, 0.139
13-02-02, 21, 211, 1681, 0.126, 0.100
13-02-03, 53, 437, 2559, 0.171, 0.121
13-02-04, 327, 1816, 7171, 0.253, 0.180
13-02-05, 370, 2203, 9336, 0.236, 0.168
13-02-06, 308, 2092, 8783, 0.238, 0.147
13-02-07, 493, 2315, 9036, 0.256, 0.213
13-02-08, 220, 1321, 5086, 0.260, 0.167
13-02-09, 36, 228, 1679, 0.136, 0.158
13-02-10, 91, 596, 3123, 0.191, 0.153
13-02-11, 244, 1829, 7976, 0.229, 0.133
13-02-12, 382, 2189, 8581, 0.255, 0.175
13-02-13, 385, 2276, 8678, 0.262, 0.169
13-02-14, 291, 2077, 8256, 0.252, 0.140
13-02-15, 378, 1242, 5292, 0.235, 0.304
13-02-16, 43, 253, 1378, 0.184, 0.170
13-02-17, 41, 382, 2067, 0.185, 0.107
13-02-18, 162, 846, 4230, 0.200, 0.191
13-02-19, 459, 1938, 8759, 0.221, 0.237
13-02-20, 416, 1931, 8682, 0.222, 0.215
13-02-21, 328, 1998, 8325, 0.240, 0.164
13-02-22, 258, 1496, 6110, 0.245, 0.172
13-02-23, 30, 245, 1966, 0.125, 0.122
13-02-24, 124, 591, 3198, 0.185, 0.210
13-02-25, 295, 2155, 8445, 0.255, 0.137
13-02-26, 332, 2047, 8869, 0.231, 0.162
13-02-27, 326, 2079, 8506, 0.244, 0.157
13-02-28, 329, 2138, 9032, 0.237, 0.154
13-03-01, 210, 1290, 5869, 0.220, 0.163
13-03-02, 44, 308, 1848, 0.167, 0.143
13-03-03, 123, 743, 3586, 0.207, 0.166
13-03-04, 288, 1811, 7835, 0.231, 0.159
