Date, Expand_Button_Click, Research_Topic_Show, Search_Count, R/E
13-01-01, 18, 1205, 9758, 0.123488419758
13-01-02, 92, 5396, 43225, 0.124835164835
13-01-03, 262, 10617, 75702, 0.140247285409
13-01-04, 305, 10381, 70399, 0.147459480959
13-01-05, 43, 1975, 14900, 0.13255033557
13-01-06, 58, 2966, 23516, 0.126126892329
13-01-07, 282, 12864, 100320, 0.128229665072
13-01-08, 324, 16166, 114511, 0.141174210338
13-01-09, 342, 20358, 150639, 0.135144285344
13-01-10, 243, 19249, 150108, 0.128234337943
13-01-11, 229, 15813, 104776, 0.150921966863
13-01-12, 32, 1943, 20332, 0.0955636435176
13-01-13, 59, 4829, 39903, 0.121018469789
13-01-14, 250, 16994, 124688, 0.136292185294
13-01-15, 276, 17314, 130510, 0.132664163666
13-01-16, 206, 15012, 109077, 0.137627547512
13-01-17, 258, 16212, 123794, 0.130959497229
13-01-18, 173, 11903, 85797, 0.138734454585
13-01-19, 12, 1457, 15879, 0.0917564078342
13-01-20, 27, 2661, 23709, 0.1122358598
13-01-21, 90, 5185, 42037, 0.123343721008
13-01-22, 203, 15455, 116256, 0.132939375172
13-01-23, 264, 15311, 113967, 0.134345907149
13-01-24, 233, 15052, 114475, 0.131487224285
13-01-25, 159, 10884, 88476, 0.12301641123
13-01-26, 20, 2139, 21282, 0.100507471102
13-01-27, 59, 4476, 37455, 0.119503404085
13-01-28, 213, 14250, 110989, 0.128391101821
13-01-29, 276, 17261, 127271, 0.135623983468
13-01-30, 298, 20008, 145464, 0.137546059506
13-01-31, 313, 17807, 120718, 0.147509070727
13-02-01, 163, 12417, 90717, 0.136876219452
13-02-02, 21, 2125, 21029, 0.101050929669
13-02-03, 53, 4271, 40606, 0.105181500271
13-02-04, 327, 18313, 135681, 0.13497099815
13-02-05, 370, 24085, 167639, 0.14367181861
13-02-06, 308, 21470, 157966, 0.135915323551
13-02-07, 493, 23630, 163737, 0.144316800723
13-02-08, 220, 13516, 103696, 0.130342539732
13-02-09, 36, 2212, 22968, 0.0963079066527
13-02-10, 91, 5438, 43421, 0.125238939684
13-02-11, 244, 18963, 138536, 0.136881388231
13-02-12, 382, 23784, 164196, 0.144851275305
13-02-13, 385, 23149, 158095, 0.146424618109
13-02-14, 291, 21385, 143735, 0.148780742338
13-02-15, 378, 12991, 95228, 0.136419960516
13-02-16, 43, 2323, 21690, 0.107100046104
13-02-17, 41, 3569, 28913, 0.123439283367
13-02-18, 162, 7904, 60771, 0.130062036169
13-02-19, 459, 18500, 135572, 0.136458855811
13-02-20, 416, 19723, 149791, 0.131670127044
13-02-21, 328, 19516, 138627, 0.140780656005
13-02-22, 258, 15415, 107973, 0.142767173275
13-02-23, 30, 2373, 21605, 0.109835686184
13-02-24, 124, 5555, 45064, 0.123269128351
13-02-25, 295, 22230, 155771, 0.142709490213
13-02-26, 332, 20075, 143874, 0.139531812558
13-02-27, 326, 20469, 148660, 0.137690030943
13-02-28, 329, 22669, 156140, 0.145183809402
13-03-01, 210, 14050, 106425, 0.132017852948
13-03-02, 44, 2986, 24147, 0.123659253738
13-03-03, 123, 7169, 56662, 0.12652218418
13-03-04, 288, 18513, 127763, 0.144901105954
13-03-05, 355, 20566, 138528, 0.148460960961
13-03-06, 256, 17448, 125341, 0.139204250804
13-03-07, 410, 22384, 158232, 0.141463168006
13-03-08, 223, 14877, 110458, 0.134684676529
13-03-09, 38, 2227, 22986, 0.0968850604716
13-03-10, 74, 5247, 50440, 0.104024583664
13-03-11, 279, 19020, 135992, 0.139861168304
13-03-12, 305, 20613, 150389, 0.137064545944
13-03-13, 265, 19829, 127186, 0.155905524193
13-03-14, 296, 19720, 156467, 0.126032965418
13-03-15, 172, 13454, 103479, 0.130016718368
13-03-16, 32, 2154, 22467, 0.0958739484577
13-03-17, 72, 5235, 49499, 0.105759712317
13-03-18, 264, 21742, 158192, 0.137440578537
13-03-19, 209, 19440, 138687, 0.140171753661
13-03-20, 300, 19085, 141158, 0.13520310574
13-03-21, 203, 17195, 123493, 0.139238661301
13-03-22, 184, 13302, 102957, 0.129199568752
13-03-23, 40, 2138, 19137, 0.111720750379
13-03-24, 66, 3977, 35870, 0.110872595484
13-03-25, 225, 14921, 110813, 0.134650266665
13-03-26, 317, 16040, 124179, 0.129168377906
13-03-27, 260, 14946, 102484, 0.145837399009
13-03-28, 184, 11285, 79221, 0.142449603009
13-03-29, 59, 3966, 28407, 0.139613475552
13-03-30, 21, 1719, 13987, 0.122899835562
13-03-31, 33, 2935, 22198, 0.13221911884
13-04-01, 139, 8837, 65821, 0.134258063536
13-04-02, 260, 16695, 117026, 0.142660605336
13-04-03, 193, 13661, 104412, 0.130837451634
13-04-04, 199, 15432, 114292, 0.135022573758
13-04-05, 152, 11376, 77472, 0.146840148699
13-04-06, 34, 2239, 18310, 0.122282905516
13-04-07, 85, 4604, 38267, 0.120312540832
13-04-08, 242, 17159, 139959, 0.122600190056
13-04-09, 321, 22401, 148811, 0.15053322671
13-04-10, 301, 24082, 157495, 0.152906441474
13-04-11, 325, 20738, 143202, 0.144816413179
13-04-12, 250, 14697, 110368, 0.133163598144
13-04-13, 37, 2125, 16692, 0.127306494129
13-04-14, 70, 4866, 38037, 0.127928070037
