Date, Expand_Button_Click, Research_Topic_Show, Search_CountR/E
14-01-01, 37, 1451, 13877, 0.104561504648
14-01-02, 48, 2628, 29760, 0.0883064516129
14-01-03, 25, 1801, 22699, 0.0793427023217
14-01-04, 22, 1509, 17682, 0.085341024771
14-01-05, 37, 1871, 22332, 0.083781121261
14-01-06, 60, 5197, 52149, 0.0996567527661
14-01-07, 162, 7145, 69602, 0.102655096118
14-01-08, 138, 9049, 91139, 0.0992879008986
14-01-09, 154, 13076, 132585, 0.0986235245314
14-01-10, 186, 12545, 102423, 0.122482254962
14-01-11, 30, 2045, 21963, 0.0931111414652
14-01-12, 76, 3729, 46757, 0.079752764292
14-01-13, 225, 17212, 148853, 0.115630857289
14-01-14, 261, 17355, 157460, 0.110218468182
14-01-15, 251, 16109, 158020, 0.101942792052
14-01-16, 255, 16619, 152465, 0.109002066048
14-01-17, 271, 13253, 113094, 0.117185703928
14-01-18, 20, 1535, 19451, 0.0789162510925
14-01-19, 33, 2246, 27993, 0.0802343443004
14-01-20, 101, 4829, 47618, 0.101411231047
14-01-21, 198, 14024, 117151, 0.119708751953
14-01-22, 168, 11778, 114716, 0.102670943896
14-01-23, 172, 13382, 124886, 0.107153724196
14-01-24, 174, 9559, 98535, 0.0970112142893
14-01-25, 30, 1610, 17437, 0.0923323966279
14-01-26, 49, 3247, 35199, 0.0922469388335
14-01-27, 153, 10503, 98245, 0.106906203878
14-01-28, 212, 11302, 104417, 0.108239079843
14-01-29, 212, 13238, 128101, 0.103340333018
14-01-30, 293, 15429, 141795, 0.108812017349
14-01-31, 220, 10621, 108507, 0.0978830858839
14-02-01, 17, 1968, 20833, 0.0944655114482
14-02-02, 36, 3600, 39760, 0.0905432595573
14-02-03, 250, 15220, 148312, 0.10262150062
14-02-04, 416, 17373, 159944, 0.108619266743
14-02-05, 256, 14670, 142224, 0.103147148161
14-02-06, 383, 18066, 168843, 0.106998809545
14-02-07, 291, 14702, 140009, 0.10500753523
14-02-08, 37, 1837, 24052, 0.0763761849326
14-02-09, 68, 5319, 54300, 0.097955801105
14-02-10, 366, 22569, 217218, 0.103900229263
