session_id,date,search,retrieval,retrieval_from_search,preview,preview_from_search,rs_ratio,add_to_my_list,email,print,export_easylib,
8767B304FD150E1EE6FE1EEC55AA6E99,2014-11-01,6,43,43,27,27,11.6666666667,8,0,1,0,
7D16ED761EA79FDF8A83F84F0AE7BA60,2014-11-01,1,1,1,0,0,1.0,0,0,1,0,
8578C72302B9CF7ED784F319F05F2CC7,2014-11-01,5,3,3,3,3,1.2,7,1,0,0,
32C0B904287A41191520A3DF8CC781DD,2014-11-01,1,3,3,0,0,3.0,0,1,0,0,
D10AF23B3D0C18F7AF6D59240D9A1E6A,2014-11-01,1,1,1,0,0,1.0,0,1,0,0,
6E943276AF26F271B40744AB22987E50,2014-11-01,3,3,3,1,1,1.33333333333,0,1,0,0,
4338187C8F51079BDF6CCA1EE371A102,2014-11-01,1,11,11,0,0,11.0,0,2,0,0,
C9BBBC457526BF1E3E8E264357F6FB65,2014-11-01,1,3,3,1,1,4.0,6,0,0,0,
DC6D0F35A2D8DEDEC8AAC2D8A6B0E238,2014-11-01,5,24,24,1,1,5.0,5,0,0,0,
E46993527AF2E3B176FA7FD8341008DF,2014-11-01,7,12,12,1,1,1.85714285714,0,0,2,0,
7AB5FB3036AB27F8E1992F250B118F6A,2014-11-01,0,1,1,0,0,-1,1,0,0,0,
1BD1DF443E6D8A1FDDEB5CEE1FBDE7A1,2014-11-01,0,1,1,0,0,-1,0,0,1,0,
FFB7B37D9F9F3A49F50D6F867F3006D1,2014-11-01,19,15,15,5,5,1.05263157895,2,0,0,0,
B27C8B8E286EBCFF3E489EC4E604D135,2014-11-01,3,1,1,0,0,0.333333333333,4,0,0,0,
A42036486DBCEDF86FC65B895F49D22E,2014-11-01,3,8,8,3,3,3.66666666667,1,0,0,0,
A9722ECFBE698B4FEA2657A87315CBB4,2014-11-01,7,4,4,0,0,0.571428571429,0,0,0,1,
DE06433B2741034CC693FAC06829EDEE,2014-11-01,9,15,15,0,0,1.66666666667,0,0,1,0,
BBD1234C22A7A13D9660EA8500BA6520,2014-11-01,1,6,6,2,2,8.0,0,2,0,0,
A07C9AA5776019C2C9F609F1A51494CC,2014-11-01,13,1,1,0,0,0.0769230769231,5,0,0,0,
792335BBDA727D5457F3786F735F6B27,2014-11-01,3,5,5,0,0,1.66666666667,0,0,1,0,
6659B873E6F655C5DF8D09C72BC92FD6,2014-11-01,5,20,20,7,7,5.4,5,0,0,0,
2287E6239A0851F24C403CFF74A7B54B,2014-11-01,1,10,10,0,0,10.0,0,4,0,0,
7229BCB2492C67287AD88B2DF8820744,2014-11-01,2,0,0,0,0,0.0,2,0,0,0,
3563DC316206E84B5FDA0BD5E6560967,2014-11-01,3,3,3,1,1,1.33333333333,0,0,0,1,
EABEAA55376ACA11B07ED3E1012C9B03,2014-11-01,2,2,2,1,1,1.5,1,1,0,0,
EC453469BBE3EB2C4AF8C4279ED491F8,2014-11-01,1,9,9,7,7,16.0,1,0,0,0,
C1C6D4C4197C378E9920B31EEE162B54,2014-11-01,0,1,1,0,0,-1,0,0,0,1,
1A2306086D333DE474F79822268F1C92,2014-11-01,2,1,1,0,0,0.5,0,0,1,0,
2A094F70503781D9952365BE58B53826,2014-11-01,8,26,26,2,2,3.5,0,0,0,3,
50F9181038B33D13D1A5A3AA9EB593A0,2014-11-01,0,0,0,0,0,-1,0,0,1,0,
4AAE57CD7016D896109BAD6B4CC7D454,2014-11-01,6,4,4,0,0,0.666666666667,3,0,0,0,
AC275DB96FBCF39140A8CFDC76273238,2014-11-01,1,0,0,0,0,0.0,0,0,3,0,
65031DC4700B3331B661C6885910869E,2014-11-01,0,0,0,0,0,-1,0,0,3,0,
7AE2A94A1A6F384CC1A9BD487B7EA856,2014-11-01,2,3,3,0,0,1.5,0,0,0,1,
D2932759A0890C5D5FE7F128EC364A6B,2014-11-01,7,8,8,2,2,1.42857142857,0,0,4,0,
53CAF2D40A0E47F789335921D21EF643,2014-11-01,1,3,3,0,0,3.0,0,2,0,0,
