Date, Expand_Button_Click, Research_Topic_Show, Search_CountR/E
13-01-01, 18, 1205, 12815, 0.0940304330862
13-01-02, 92, 5396, 58087, 0.0928951400485
13-01-03, 262, 10617, 92202, 0.115149346001
13-01-04, 305, 10381, 91966, 0.112878672553
13-01-05, 43, 1975, 20203, 0.0977577587487
13-01-06, 58, 2966, 30756, 0.0964364676811
13-01-07, 282, 12864, 123506, 0.104156883066
13-01-08, 324, 16166, 153781, 0.105123519811
13-01-09, 342, 20358, 191831, 0.106124661812
13-01-10, 243, 19249, 184345, 0.104418346036
13-01-11, 229, 15813, 134834, 0.117277541273
13-01-12, 32, 1943, 27473, 0.0707239835475
13-01-13, 59, 4829, 50891, 0.094889076654
13-01-14, 250, 16994, 155666, 0.109169632418
13-01-15, 276, 17314, 161326, 0.107323060139
13-01-16, 206, 15012, 133780, 0.112214082823
13-01-17, 258, 16212, 152160, 0.106545741325
13-01-18, 173, 11903, 109352, 0.108850318238
13-01-19, 12, 1457, 19143, 0.0761113723032
13-01-20, 27, 2661, 30177, 0.0881797395367
13-01-21, 90, 5185, 52415, 0.0989220642946
13-01-22, 203, 15455, 141399, 0.109300631546
13-01-23, 264, 15311, 142776, 0.107237911134
13-01-24, 233, 15052, 140411, 0.107199578381
13-01-25, 159, 10884, 109792, 0.0991329058584
13-01-26, 20, 2139, 27118, 0.0788774983406
13-01-27, 59, 4476, 47794, 0.0936519228355
13-01-28, 213, 14250, 146056, 0.0975653174125
13-01-29, 276, 17261, 157642, 0.109494931554
13-01-30, 298, 20008, 177940, 0.112442396313
13-01-31, 313, 17807, 154030, 0.115607349218
13-02-01, 163, 12417, 112795, 0.110084666874
13-02-02, 21, 2125, 27596, 0.0770039136107
13-02-03, 53, 4271, 50589, 0.0844254679871
13-02-04, 327, 18313, 172925, 0.105901402342
13-02-05, 370, 24085, 203718, 0.118227157149
13-02-06, 308, 21470, 200589, 0.107034782565
13-02-07, 493, 23630, 209651, 0.112711124679
13-02-08, 220, 13516, 131286, 0.102950809683
13-02-09, 36, 2212, 30367, 0.0728422300524
13-02-10, 91, 5438, 56307, 0.0965776901629
13-02-11, 244, 18963, 173672, 0.109188585379
13-02-12, 382, 23784, 202140, 0.117661027011
13-02-13, 385, 23149, 195933, 0.118147530023
13-02-14, 291, 21385, 180621, 0.11839708561
13-02-15, 378, 12991, 122333, 0.106193749847
13-02-16, 43, 2323, 29262, 0.0793862347071
13-02-17, 41, 3569, 35749, 0.0998349604185
13-02-18, 162, 7904, 75968, 0.104043807919
13-02-19, 459, 18500, 168700, 0.10966212211
13-02-20, 416, 19723, 183298, 0.107600737597
13-02-21, 328, 19516, 170699, 0.114329902343
13-02-22, 258, 15415, 133743, 0.115258368662
13-02-23, 30, 2373, 28989, 0.0818586360344
13-02-24, 124, 5555, 56061, 0.0990884928917
13-02-25, 295, 22230, 196826, 0.112942395822
13-02-26, 332, 20075, 173368, 0.115794148863
13-02-27, 326, 20469, 178074, 0.114946595236
13-02-28, 329, 22669, 194884, 0.116320477823
13-03-01, 210, 14050, 130915, 0.107321544514
13-03-02, 44, 2986, 29565, 0.100997801454
13-03-03, 123, 7169, 66957, 0.107068715743
13-03-04, 288, 18513, 155385, 0.119142774399
13-03-05, 355, 20566, 170399, 0.120693196556
13-03-06, 256, 17448, 154456, 0.112964209872
13-03-07, 410, 22384, 198497, 0.112767447367
13-03-08, 223, 14877, 136296, 0.109152139461
13-03-09, 38, 2227, 27935, 0.079720780383
13-03-10, 74, 5247, 64462, 0.0813967919084
13-03-11, 279, 19020, 168609, 0.112805366262
13-03-12, 305, 20613, 183978, 0.112040570068
13-03-13, 265, 19829, 161353, 0.122892044152
13-03-14, 296, 19720, 194947, 0.101155698728
13-03-15, 172, 13454, 129454, 0.103928808689
13-03-16, 32, 2154, 28206, 0.0763667304829
13-03-17, 72, 5235, 62234, 0.0841180062345
13-03-18, 264, 21742, 193419, 0.112408811957
13-03-19, 209, 19440, 168975, 0.115046604527
13-03-20, 300, 19085, 173925, 0.10973120598
13-03-21, 203, 17195, 150036, 0.114605827935
13-03-22, 184, 13302, 123067, 0.108087464552
13-03-23, 40, 2138, 24064, 0.0888464095745
13-03-24, 66, 3977, 42094, 0.0944790231387
13-03-25, 225, 14921, 134394, 0.11102430168
13-03-26, 317, 16040, 145286, 0.110402929394
13-03-27, 260, 14946, 122605, 0.121903674402
13-03-28, 184, 11285, 96950, 0.116400206292
13-03-29, 59, 3966, 35373, 0.112119413112
13-03-30, 21, 1719, 15991, 0.107497967607
13-03-31, 33, 2935, 26542, 0.110579458971
13-04-01, 139, 8837, 82676, 0.106887125647
13-04-02, 260, 16695, 142875, 0.116850393701
13-04-03, 193, 13661, 127872, 0.106833395896
13-04-04, 199, 15432, 140499, 0.109837080691
13-04-05, 152, 11376, 95192, 0.119505840827
13-04-06, 34, 2239, 23691, 0.0945084631295
13-04-07, 85, 4604, 46535, 0.098936284517
13-04-08, 242, 17159, 170864, 0.100424899335
13-04-09, 321, 22401, 180155, 0.124342926924
13-04-10, 301, 24082, 195397, 0.123246518626
13-04-11, 325, 20738, 175196, 0.118370282427
13-04-12, 250, 14697, 139131, 0.105634258361
13-04-13, 37, 2125, 22226, 0.0956087465131
13-04-14, 70, 4866, 49965, 0.0973881717202
13-04-15, 239, 17889, 160814, 0.111240314898
