Date, Search Count, Research Topic Click
2013-12-01, 1294, 0
2013-12-02, 2982, 5
2013-12-03, 3349, 21
2013-12-04, 3174, 47
2013-12-05, 3082, 18
2013-12-06, 2370, 21
2013-12-07, 802, 6
2013-12-08, 1485, 4
2013-12-09, 2600, 8
2013-12-10, 2469, 15
2013-12-11, 2239, 5
2013-12-12, 2559, 21
2013-12-13, 1838, 19
2013-12-14, 685, 3
2013-12-15, 1181, 4
2013-12-16, 2546, 21
2013-12-17, 2262, 12
2013-12-18, 1773, 6
2013-12-19, 1752, 4
2013-12-20, 919, 0
2013-12-21, 369, 1
2013-12-22, 363, 1
2013-12-23, 367, 0
2013-12-24, 233, 5
2013-12-25, 216, 0
2013-12-26, 318, 2
2013-12-27, 263, 3
2013-12-28, 362, 3
2013-12-29, 385, 3
2013-12-30, 395, 1
2013-12-31, 332, 2
2014-01-01, 438, 2
2014-01-02, 678, 8
2014-01-03, 576, 9
2014-01-04, 515, 11
2014-01-05, 577, 1
2014-01-06, 945, 9
2014-01-07, 1402, 5
2014-01-08, 1960, 6
2014-01-09, 2141, 22
2014-01-10, 1777, 10
2014-01-11, 581, 1
2014-01-12, 1025, 3
2014-01-13, 2765, 40
2014-01-14, 3034, 27
2014-01-15, 2840, 14
2014-01-16, 2722, 43
2014-01-17, 1833, 25
2014-01-18, 636, 3
2014-01-19, 789, 0
2014-01-20, 1095, 7
2014-01-21, 2151, 15
2014-01-22, 2061, 28
2014-01-23, 2233, 15
2014-01-24, 1602, 7
2014-01-25, 610, 4
2014-01-26, 1027, 15
2014-01-27, 1903, 14
2014-01-28, 2295, 11
